Moisture,Oil,Protein,Starch
10.448,3.687,8.746,64.83799999999999
10.409,3.72,8.657999999999999,64.851
10.313,3.496,9.125,63.567
10.26,3.504,9.388999999999999,63.263
10.292,3.661,8.952,64.148
10.253,3.507,8.728,64.28700000000001
9.731999999999999,3.699,9.41,63.513
9.739000000000001,3.716,9.595000000000001,63.631
10.335,3.748,9.445,63.021
10.108,3.619,9.334,63.356
9.754,3.556,8.504,66.47199999999999
9.407,3.787,8.737,65.386
9.942,3.693,8.268000000000001,65.72
9.978,3.677,7.788,65.80800000000001
9.911,3.82,8.917999999999999,64.544
9.673,3.832,9.018000000000001,64.62
10.221,3.524,9.092000000000001,63.823
9.856999999999999,3.3,9.452,63.913
10.302,3.46,9.333,62.826
9.818,3.446,9.073,64.292
10.169,3.541,9.711,63.099
10.034,3.417,9.694000000000001,63.246
9.691000000000001,3.645,8.685,65.474
9.779999999999999,3.71,8.728999999999999,65.42700000000001
10.143,3.67,8.842000000000001,64.58199999999999
10.346,3.479,9.436,63.466
9.747999999999999,3.766,9.179,65.107
9.641,3.822,8.823,65.601
10.069,3.449,9.592000000000001,63.416
10.723,3.212,8.23,64.261
10.747,3.212,8.412000000000001,64.42
10.826,3.519,8.412000000000001,64.613
10.626,3.464,8.282,65.104
10.323,3.59,8.715999999999999,64.923
10.371,3.569,8.435,65.637
10.817,3.404,8.147,65.02200000000001
10.936,3.415,8.375,64.54600000000001
10.336,3.583,8.506,64.78700000000001
10.451,3.457,8.499000000000001,64.65600000000001
10.525,3.226,8.271000000000001,64.895
10.535,3.264,8.266,65.193
10.882,3.316,8.112,65.217
10.592,3.201,8.112,65.11499999999999
10.296,3.28,8.276999999999999,65.441
10.311,3.424,8.496,64.67
10.13,3.435,8.445,65.51900000000001
9.817,3.363,8.285,65.795
10.273,3.556,8.994,64.253
10.08,3.494,9.286,64.26600000000001
10.315,3.584,8.552,64.63200000000001
10.126,3.407,8.423,64.91500000000001
10.025,3.437,8.467000000000001,64.88200000000001
9.973000000000001,3.451,8.478999999999999,64.93300000000001
10.146,3.539,8.432,64.806
10.146,3.59,8.539999999999999,64.75700000000001
10.301,3.306,7.759,65.524
9.776,3.494,8.286,65.646
10.143,3.641,8.381,65.84099999999999
9.949999999999999,3.505,8.225,65.374
9.949999999999999,3.491,8.361000000000001,65.294
10.303,3.751,8.986000000000001,64.539
10.597,3.595,9.313000000000001,64.367
10.413,3.449,8.904999999999999,64.574
10.32,3.676,8.337999999999999,65.547
10.55,3.652,8.571,65.205
10.993,3.557,9.353999999999999,63.247
9.958,3.088,9.021000000000001,63.784
10.398,3.163,9.382,62.884
10.509,3.38,7.654,65.90300000000001
10.831,3.686,7.908,65.437
9.377000000000001,3.497,8.613,64.506
9.43,3.446,8.837999999999999,64.131
10.568,3.306,7.873,65.337
10.855,3.55,8.288,64.464
9.872,3.105,8.648999999999999,65.371
10.785,3.251,7.876,65.233
10.097,3.49,8.586,65.679
10.442,3.345,8.029999999999999,65.14400000000001
10.587,3.176,8.132,65.209
10.977,3.328,8.428000000000001,64.85299999999999
